year,CRIME_TYPE,non_domestic_crimes
2001,MOTOR VEHICLE THEFT,27518
2001,OTHER OFFENSE,21542
2001,THEFT,97146
2001,ROBBERY,18024
2001,NARCOTICS,50553
2001,ASSAULT,24358
2001,CRIMINAL DAMAGE,51794
2001,DECEPTIVE PRACTICE,14727
2001,BURGLARY,25822
2001,BATTERY,59439
2002,THEFT,96280
2002,NARCOTICS,51773
2002,DECEPTIVE PRACTICE,13538
2002,BURGLARY,25477
2002,OTHER OFFENSE,23763
2002,CRIMINAL DAMAGE,51814
2002,MOTOR VEHICLE THEFT,25098
2002,ASSAULT,24315
2002,ROBBERY,18152
2002,BATTERY,58546
2003,DECEPTIVE PRACTICE,13293
2003,NARCOTICS,54276
2003,ROBBERY,17090
2003,BATTERY,56076
2003,MOTOR VEHICLE THEFT,22731
2003,ASSAULT,23824
2003,THEFT,97262
2003,OTHER OFFENSE,23441
2003,CRIMINAL DAMAGE,51745
2003,BURGLARY,25016
2004,ROBBERY,15727
2004,NARCOTICS,57049
2004,THEFT,93869
2004,CRIMINAL DAMAGE,49931
2004,OTHER OFFENSE,21692
2004,DECEPTIVE PRACTICE,13114
2004,BATTERY,53812
2004,BURGLARY,24418
2004,ASSAULT,23572
2004,MOTOR VEHICLE THEFT,22781
2005,OTHER OFFENSE,20534
2005,THEFT,84168
2005,NARCOTICS,56226
2005,MOTOR VEHICLE THEFT,22468
2005,ASSAULT,22450
2005,DECEPTIVE PRACTICE,13428
2005,CRIMINAL DAMAGE,51571
2005,BATTERY,52771
2005,BURGLARY,25366
2005,ROBBERY,15822
2006,THEFT,84579
2006,NARCOTICS,55801
2006,MOTOR VEHICLE THEFT,21802
2006,ASSAULT,21304
2006,CRIMINAL DAMAGE,53783
2006,ROBBERY,15811
2006,BURGLARY,24159
2006,DECEPTIVE PRACTICE,13409
2006,OTHER OFFENSE,19651
2006,BATTERY,49517
2007,ASSAULT,21816
2007,NARCOTICS,54448
2007,BATTERY,48104
2007,MOTOR VEHICLE THEFT,18549
2007,DECEPTIVE PRACTICE,13969
2007,ROBBERY,15263
2007,CRIMINAL DAMAGE,50859
2007,BURGLARY,24712
2007,THEFT,83680
2007,OTHER OFFENSE,19426
2008,MOTOR VEHICLE THEFT,18852
2008,NARCOTICS,46481
2008,ASSAULT,20965
2008,DECEPTIVE PRACTICE,14727
2008,BURGLARY,26059
2008,BATTERY,45192
2008,CRIMINAL DAMAGE,49839
2008,THEFT,86983
2008,ROBBERY,16440
2008,OTHER OFFENSE,18876
2009,DECEPTIVE PRACTICE,13682
2009,THEFT,79188
2009,MOTOR VEHICLE THEFT,15400
2009,BATTERY,37596
2009,OTHER OFFENSE,17606
2009,NARCOTICS,43522
2009,CRIMINAL DAMAGE,44241
2009,BURGLARY,26583
2009,ROBBERY,15678
2009,ASSAULT,17440
2010,ASSAULT,16211
2010,BATTERY,34765
2010,DECEPTIVE PRACTICE,12396
2010,NARCOTICS,43367
2010,BURGLARY,26257
2010,MOTOR VEHICLE THEFT,18935
2010,THEFT,75050
2010,CRIMINAL DAMAGE,37025
2010,OTHER OFFENSE,14890
2010,ROBBERY,13978
2011,NARCOTICS,38578
2011,ASSAULT,15295
2011,BURGLARY,26479
2011,MOTOR VEHICLE THEFT,19260
2011,BATTERY,31428
2011,DECEPTIVE PRACTICE,12572
2011,THEFT,73102
2011,ROBBERY,13773
2011,CRIMINAL DAMAGE,33884
2011,OTHER OFFENSE,13428
2012,ASSAULT,14804
2012,NARCOTICS,35471
2012,BATTERY,30299
2012,MOTOR VEHICLE THEFT,16326
2012,DECEPTIVE PRACTICE,13604
2012,BURGLARY,22705
2012,CRIMINAL DAMAGE,32485
2012,ROBBERY,13315
2012,OTHER OFFENSE,11373
2012,THEFT,73251
2013,BATTERY,27420
2013,THEFT,69490
2013,NARCOTICS,34113
2013,BURGLARY,17786
2013,MOTOR VEHICLE THEFT,12488
2013,DECEPTIVE PRACTICE,13748
2013,ROBBERY,11660
2013,CRIMINAL DAMAGE,27666
2013,ASSAULT,13528
2013,OTHER OFFENSE,12146
2014,NARCOTICS,29104
2014,BATTERY,25439
2014,THEFT,59672
2014,ASSAULT,12677
2014,DECEPTIVE PRACTICE,15768
2014,BURGLARY,14461
2014,CRIMINAL DAMAGE,24948
2014,MOTOR VEHICLE THEFT,9827
2014,ROBBERY,9629
2014,OTHER OFFENSE,12098
2015,OTHER OFFENSE,12315
2015,NARCOTICS,23932
2015,ASSAULT,12611
2015,BURGLARY,13078
2015,THEFT,55284
2015,DECEPTIVE PRACTICE,16213
2015,BATTERY,24633
2015,MOTOR VEHICLE THEFT,9972
2015,CRIMINAL DAMAGE,25639
2015,ROBBERY,9466
2016,NARCOTICS,13324
2016,ASSAULT,14035
2016,MOTOR VEHICLE THEFT,11155
2016,BURGLARY,14122
2016,BATTERY,25872
2016,DECEPTIVE PRACTICE,19089
2016,ROBBERY,11781
2016,CRIMINAL DAMAGE,27673
2016,THEFT,59368
2016,OTHER OFFENSE,11787
2017,NARCOTICS,11666
2017,MOTOR VEHICLE THEFT,11269
2017,BATTERY,25384
2017,BURGLARY,12837
2017,DECEPTIVE PRACTICE,19381
2017,ASSAULT,14364
2017,CRIMINAL DAMAGE,25717
2017,ROBBERY,11680
2017,THEFT,62092
2017,OTHER OFFENSE,11731
2018,BATTERY,25447
2018,NARCOTICS,13566
2018,MOTOR VEHICLE THEFT,9839
2018,DECEPTIVE PRACTICE,19468
2018,BURGLARY,11599
2018,CRIMINAL DAMAGE,24560
2018,ROBBERY,9511
2018,ASSAULT,15204
2018,THEFT,62973
2018,OTHER OFFENSE,11488
2019,NARCOTICS,15054
2019,BATTERY,25650
2019,MOTOR VEHICLE THEFT,8833
2019,BURGLARY,9464
2019,DECEPTIVE PRACTICE,18646
2019,CRIMINAL DAMAGE,23480
2019,THEFT,60106
2019,ROBBERY,7819
2019,ASSAULT,15334
2019,OTHER OFFENSE,11450
2020,NARCOTICS,7473
2020,BATTERY,19966
2020,MOTOR VEHICLE THEFT,9787
2020,BURGLARY,8559
2020,DECEPTIVE PRACTICE,17729
2020,CRIMINAL DAMAGE,21186
2020,ASSAULT,13273
2020,THEFT,39057
2020,ROBBERY,7667
2020,OTHER OFFENSE,8078
2021,NARCOTICS,4055
2021,MOTOR VEHICLE THEFT,10150
2021,BURGLARY,6224
2021,BATTERY,17253
2021,DECEPTIVE PRACTICE,15467
2021,CRIMINAL DAMAGE,20406
2021,OTHER OFFENSE,8402
2021,ROBBERY,7571
2021,ASSAULT,13966
2021,THEFT,37119