CRIME_TYPE,LOCALITY,TOTAL_CRIME_COUNT
THEFT,STREET,424331
CRIMINAL DAMAGE,STREET,305592
BATTERY,RESIDENCE,285272
BATTERY,APARTMENT,281644
MOTOR VEHICLE THEFT,STREET,270488
NARCOTICS,STREET,262705
BATTERY,STREET,238201
NARCOTICS,SIDEWALK,231051
OTHER OFFENSE,RESIDENCE,208574
BATTERY,SIDEWALK,197817
THEFT,RESIDENCE,162410
CRIMINAL DAMAGE,RESIDENCE,160175
BURGLARY,RESIDENCE,139861
BURGLARY,APARTMENT,119404
ASSAULT,STREET,98281
DECEPTIVE PRACTICE,RESIDENCE,94238
CRIMINAL DAMAGE,APARTMENT,92579
ROBBERY,STREET,87042
THEFT,OTHER,84916
ROBBERY,SIDEWALK,84644
THEFT,APARTMENT,84376
ASSAULT,RESIDENCE,82359
OTHER OFFENSE,STREET,78996
THEFT,SMALL RETAIL STORE,77654
THEFT,DEPARTMENT STORE,76814
THEFT,PARKING LOT/GARAGE(NON.RESID.),74744
OTHER OFFENSE,APARTMENT,74234
BURGLARY,RESIDENCE-GARAGE,69647
ASSAULT,APARTMENT,63576
ASSAULT,SIDEWALK,61907
THEFT,GROCERY FOOD STORE,61064
BATTERY,"SCHOOL, PUBLIC, BUILDING",51522
THEFT,SIDEWALK,50459
NARCOTICS,ALLEY,46839
THEFT,RESTAURANT,44721
THEFT,VEHICLE NON-COMMERCIAL,39939
CRIMINAL DAMAGE,RESIDENCE-GARAGE,36514
CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),34897
BATTERY,RESIDENCE PORCH/HALLWAY,31454
BATTERY,ALLEY,30009
CRIMINAL DAMAGE,OTHER,29762
DECEPTIVE PRACTICE,APARTMENT,29244
DECEPTIVE PRACTICE,OTHER,28529
NARCOTICS,RESIDENCE,28285
BATTERY,OTHER,28107
THEFT,RESIDENTIAL YARD (FRONT/BACK),27953
THEFT,RESIDENCE PORCH/HALLWAY,26006
THEFT,"SCHOOL, PUBLIC, BUILDING",25866
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),25663
ASSAULT,"SCHOOL, PUBLIC, BUILDING",25600
NARCOTICS,VEHICLE NON-COMMERCIAL,21797
DECEPTIVE PRACTICE,STREET,21088
NARCOTICS,CHA PARKING LOT/GROUNDS,21044
OTHER OFFENSE,OTHER,20170
ROBBERY,ALLEY,19671
THEFT,GAS STATION,19369
CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,18524
THEFT,COMMERCIAL / BUSINESS OFFICE,18498
ASSAULT,RESIDENCE PORCH/HALLWAY,17833
BATTERY,PARKING LOT/GARAGE(NON.RESID.),17512
THEFT,RESIDENCE-GARAGE,16171
ASSAULT,OTHER,15647
THEFT,ALLEY,14962
CRIMINAL DAMAGE,ALLEY,14905
BURGLARY,OTHER,14400
THEFT,PARK PROPERTY,14070
BATTERY,VEHICLE NON-COMMERCIAL,13879
NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),13768
BATTERY,PARK PROPERTY,13537
BATTERY,RESTAURANT,13201
NARCOTICS,APARTMENT,13176
NARCOTICS,OTHER,12221
OTHER OFFENSE,SIDEWALK,12024
CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),11910
DECEPTIVE PRACTICE,RESTAURANT,11364
CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,11126
ASSAULT,ALLEY,11075
CRIMINAL DAMAGE,RESTAURANT,10920
CRIMINAL DAMAGE,SIDEWALK,10826
NARCOTICS,"SCHOOL, PUBLIC, BUILDING",10072
BURGLARY,SMALL RETAIL STORE,10006
DECEPTIVE PRACTICE,SMALL RETAIL STORE,9742
NARCOTICS,RESIDENCE PORCH/HALLWAY,9701
ASSAULT,RESTAURANT,9602
BATTERY,CHA PARKING LOT/GROUNDS,9517
BATTERY,GAS STATION,9341
CRIMINAL DAMAGE,SMALL RETAIL STORE,9291
BATTERY,RESIDENTIAL YARD (FRONT/BACK),9153
CRIMINAL DAMAGE,"SCHOOL, PUBLIC, BUILDING",8819
BURGLARY,RESTAURANT,8590
MOTOR VEHICLE THEFT,OTHER,8467
ROBBERY,PARKING LOT/GARAGE(NON.RESID.),8113
OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,8111
ASSAULT,PARKING LOT/GARAGE(NON.RESID.),7956
NARCOTICS,PARK PROPERTY,7882
CRIMINAL DAMAGE,COMMERCIAL / BUSINESS OFFICE,7435
DECEPTIVE PRACTICE,DEPARTMENT STORE,7251
ASSAULT,SMALL RETAIL STORE,7003
NARCOTICS,GAS STATION,6965
ROBBERY,SMALL RETAIL STORE,6887
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,6755
ROBBERY,GAS STATION,6508
BATTERY,SMALL RETAIL STORE,6480
ASSAULT,GAS STATION,6445
OTHER OFFENSE,VEHICLE NON-COMMERCIAL,6100
DECEPTIVE PRACTICE,SIDEWALK,6047
ROBBERY,OTHER,5872
MOTOR VEHICLE THEFT,ALLEY,5825
BURGLARY,COMMERCIAL / BUSINESS OFFICE,5811
DECEPTIVE PRACTICE,GAS STATION,5790
CRIMINAL DAMAGE,GAS STATION,5771
BATTERY,GROCERY FOOD STORE,5682
ASSAULT,RESIDENTIAL YARD (FRONT/BACK),5444
ROBBERY,RESIDENCE,5406
DECEPTIVE PRACTICE,GROCERY FOOD STORE,5131
ROBBERY,APARTMENT,5127
MOTOR VEHICLE THEFT,GAS STATION,5040
ROBBERY,RESIDENCE PORCH/HALLWAY,4848
ROBBERY,RESTAURANT,4756
ASSAULT,GROCERY FOOD STORE,4748
CRIMINAL DAMAGE,PARK PROPERTY,4590
NARCOTICS,RESIDENTIAL YARD (FRONT/BACK),4430
MOTOR VEHICLE THEFT,RESIDENTIAL YARD (FRONT/BACK),4022
OTHER OFFENSE,SMALL RETAIL STORE,3822
OTHER OFFENSE,RESTAURANT,3687
MOTOR VEHICLE THEFT,RESIDENCE,3669
DECEPTIVE PRACTICE,PARKING LOT/GARAGE(NON.RESID.),3668
ROBBERY,PARK PROPERTY,3584
ASSAULT,PARK PROPERTY,3419
OTHER OFFENSE,PARKING LOT/GARAGE(NON.RESID.),3333
ASSAULT,CHA PARKING LOT/GROUNDS,3318
ROBBERY,GROCERY FOOD STORE,3297
CRIMINAL DAMAGE,GROCERY FOOD STORE,3195
BURGLARY,GROCERY FOOD STORE,3113
OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",3056
OTHER OFFENSE,ALLEY,3036
ASSAULT,COMMERCIAL / BUSINESS OFFICE,2905
MOTOR VEHICLE THEFT,VEHICLE NON-COMMERCIAL,2694
ROBBERY,VEHICLE NON-COMMERCIAL,2647
CRIMINAL DAMAGE,CHA PARKING LOT/GROUNDS,2573
MOTOR VEHICLE THEFT,RESIDENCE-GARAGE,2424
BATTERY,COMMERCIAL / BUSINESS OFFICE,2355
OTHER OFFENSE,RESIDENCE PORCH/HALLWAY,2306
BURGLARY,"SCHOOL, PUBLIC, BUILDING",2230
BATTERY,DEPARTMENT STORE,2053
ASSAULT,DEPARTMENT STORE,1915
ROBBERY,RESIDENTIAL YARD (FRONT/BACK),1892
ASSAULT,VEHICLE NON-COMMERCIAL,1860
OTHER OFFENSE,GAS STATION,1758
BATTERY,RESIDENCE-GARAGE,1750
THEFT,CHA PARKING LOT/GROUNDS,1721
BURGLARY,RESIDENCE PORCH/HALLWAY,1720
ROBBERY,RESIDENCE-GARAGE,1689
OTHER OFFENSE,RESIDENTIAL YARD (FRONT/BACK),1544
OTHER OFFENSE,RESIDENCE-GARAGE,1418
OTHER OFFENSE,GROCERY FOOD STORE,1375
NARCOTICS,RESTAURANT,1328
MOTOR VEHICLE THEFT,SIDEWALK,1199
CRIMINAL DAMAGE,DEPARTMENT STORE,1195
DECEPTIVE PRACTICE,ALLEY,1194
BURGLARY,STREET,1177
BURGLARY,PARKING LOT/GARAGE(NON.RESID.),1144
ROBBERY,DEPARTMENT STORE,1032
MOTOR VEHICLE THEFT,APARTMENT,992
OTHER OFFENSE,PARK PROPERTY,958
ROBBERY,"SCHOOL, PUBLIC, BUILDING",931
BURGLARY,DEPARTMENT STORE,911
ROBBERY,CHA PARKING LOT/GROUNDS,884
DECEPTIVE PRACTICE,"SCHOOL, PUBLIC, BUILDING",848
NARCOTICS,SMALL RETAIL STORE,846
NARCOTICS,RESIDENCE-GARAGE,826
NARCOTICS,GROCERY FOOD STORE,713
ASSAULT,RESIDENCE-GARAGE,681
DECEPTIVE PRACTICE,VEHICLE NON-COMMERCIAL,679
MOTOR VEHICLE THEFT,CHA PARKING LOT/GROUNDS,661
OTHER OFFENSE,DEPARTMENT STORE,655
BURGLARY,PARK PROPERTY,639
DECEPTIVE PRACTICE,RESIDENCE PORCH/HALLWAY,615
DECEPTIVE PRACTICE,PARK PROPERTY,540
OTHER OFFENSE,CHA PARKING LOT/GROUNDS,525
BURGLARY,ALLEY,481
MOTOR VEHICLE THEFT,PARK PROPERTY,473
BURGLARY,GAS STATION,469
ROBBERY,COMMERCIAL / BUSINESS OFFICE,440
MOTOR VEHICLE THEFT,COMMERCIAL / BUSINESS OFFICE,371
BURGLARY,RESIDENTIAL YARD (FRONT/BACK),320
DECEPTIVE PRACTICE,RESIDENTIAL YARD (FRONT/BACK),259
BURGLARY,VEHICLE NON-COMMERCIAL,184
BURGLARY,SIDEWALK,181
MOTOR VEHICLE THEFT,"SCHOOL, PUBLIC, BUILDING",174
DECEPTIVE PRACTICE,RESIDENCE-GARAGE,174
DECEPTIVE PRACTICE,CHA PARKING LOT/GROUNDS,158
MOTOR VEHICLE THEFT,RESTAURANT,150
NARCOTICS,DEPARTMENT STORE,140
NARCOTICS,COMMERCIAL / BUSINESS OFFICE,139
MOTOR VEHICLE THEFT,GROCERY FOOD STORE,135
BURGLARY,CHA PARKING LOT/GROUNDS,135
MOTOR VEHICLE THEFT,SMALL RETAIL STORE,112
MOTOR VEHICLE THEFT,RESIDENCE PORCH/HALLWAY,80
MOTOR VEHICLE THEFT,DEPARTMENT STORE,44