year,location_description,total
2001,ALLEY,10811
2001,COMMERCIAL / BUSINESS OFFICE,5589
2001,DEPARTMENT STORE,6500
2001,SMALL RETAIL STORE,7609
2001,RESIDENTIAL YARD (FRONT/BACK),4
2001,GAS STATION,4540
2001,RESIDENCE-GARAGE,10258
2001,RESIDENCE PORCH/HALLWAY,9008
2001,CHA PARKING LOT/GROUNDS,8691
2001,OTHER,21334
2001,"SCHOOL, PUBLIC, BUILDING",10377
2001,PARK PROPERTY,3727
2001,PARKING LOT/GARAGE(NON.RESID.),16114
2001,RESIDENCE,94202
2001,STREET,150457
2001,RESTAURANT,6898
2001,SIDEWALK,29279
2001,GROCERY FOOD STORE,8600
2001,VEHICLE NON-COMMERCIAL,3871
2001,APARTMENT,28423
2002,"SCHOOL, PUBLIC, BUILDING",10934
2002,COMMERCIAL / BUSINESS OFFICE,4681
2002,SIDEWALK,34762
2002,STREET,147956
2002,GAS STATION,4695
2002,APARTMENT,35794
2002,PARK PROPERTY,3833
2002,RESIDENCE,90460
2002,RESIDENCE-GARAGE,9910
2002,ALLEY,10914
2002,PARKING LOT/GARAGE(NON.RESID.),14795
2002,CHA PARKING LOT/GROUNDS,7755
2002,GROCERY FOOD STORE,7909
2002,DEPARTMENT STORE,5582
2002,RESIDENCE PORCH/HALLWAY,9029
2002,SMALL RETAIL STORE,7728
2002,OTHER,20361
2002,RESTAURANT,6645
2002,RESIDENTIAL YARD (FRONT/BACK),325
2002,VEHICLE NON-COMMERCIAL,5573
2003,GAS STATION,4893
2003,"SCHOOL, PUBLIC, BUILDING",11789
2003,DEPARTMENT STORE,5180
2003,COMMERCIAL / BUSINESS OFFICE,4308
2003,RESIDENTIAL YARD (FRONT/BACK),1282
2003,RESIDENCE,81547
2003,SMALL RETAIL STORE,7752
2003,RESIDENCE PORCH/HALLWAY,8573
2003,APARTMENT,39651
2003,SIDEWALK,37648
2003,RESTAURANT,6737
2003,CHA PARKING LOT/GROUNDS,6653
2003,VEHICLE NON-COMMERCIAL,5631
2003,RESIDENCE-GARAGE,10044
2003,STREET,145649
2003,GROCERY FOOD STORE,7272
2003,PARKING LOT/GARAGE(NON.RESID.),14171
2003,PARK PROPERTY,3401
2003,ALLEY,10898
2003,OTHER,18066
2004,SMALL RETAIL STORE,7336
2004,RESIDENCE,78124
2004,APARTMENT,42207
2004,OTHER,17839
2004,PARKING LOT/GARAGE(NON.RESID.),13344
2004,DEPARTMENT STORE,4727
2004,RESTAURANT,6592
2004,CHA PARKING LOT/GROUNDS,6870
2004,RESIDENTIAL YARD (FRONT/BACK),1540
2004,GAS STATION,5104
2004,SIDEWALK,42331
2004,"SCHOOL, PUBLIC, BUILDING",12040
2004,ALLEY,10911
2004,RESIDENCE-GARAGE,8659
2004,RESIDENCE PORCH/HALLWAY,8169
2004,PARK PROPERTY,3390
2004,STREET,138381
2004,VEHICLE NON-COMMERCIAL,6072
2004,COMMERCIAL / BUSINESS OFFICE,3947
2004,GROCERY FOOD STORE,6855
2005,APARTMENT,41603
2005,RESIDENCE-GARAGE,9340
2005,RESIDENCE,75929
2005,SIDEWALK,46137
2005,VEHICLE NON-COMMERCIAL,10188
2005,OTHER,16990
2005,RESIDENCE PORCH/HALLWAY,7868
2005,PARKING LOT/GARAGE(NON.RESID.),12284
2005,COMMERCIAL / BUSINESS OFFICE,3316
2005,CHA PARKING LOT/GROUNDS,6109
2005,"SCHOOL, PUBLIC, BUILDING",11684
2005,DEPARTMENT STORE,4600
2005,PARK PROPERTY,3450
2005,GROCERY FOOD STORE,6354
2005,GAS STATION,5277
2005,ALLEY,10300
2005,RESTAURANT,5995
2005,RESIDENTIAL YARD (FRONT/BACK),1220
2005,STREET,123676
2005,SMALL RETAIL STORE,7156
2006,SMALL RETAIL STORE,7377
2006,APARTMENT,42253
2006,SIDEWALK,49968
2006,GROCERY FOOD STORE,5455
2006,ALLEY,10471
2006,"SCHOOL, PUBLIC, BUILDING",10359
2006,PARKING LOT/GARAGE(NON.RESID.),11234
2006,STREET,118761
2006,RESIDENCE,73798
2006,RESIDENTIAL YARD (FRONT/BACK),1634
2006,PARK PROPERTY,3302
2006,GAS STATION,5134
2006,RESIDENCE-GARAGE,9232
2006,RESIDENCE PORCH/HALLWAY,7671
2006,DEPARTMENT STORE,4531
2006,CHA PARKING LOT/GROUNDS,4602
2006,COMMERCIAL / BUSINESS OFFICE,3319
2006,OTHER,16866
2006,VEHICLE NON-COMMERCIAL,12636
2006,RESTAURANT,6271
2007,RESTAURANT,6005
2007,"SCHOOL, PUBLIC, BUILDING",9842
2007,GROCERY FOOD STORE,5156
2007,PARK PROPERTY,3577
2007,DEPARTMENT STORE,4682
2007,APARTMENT,44295
2007,COMMERCIAL / BUSINESS OFFICE,3674
2007,RESIDENTIAL YARD (FRONT/BACK),1603
2007,GAS STATION,4952
2007,PARKING LOT/GARAGE(NON.RESID.),11347
2007,RESIDENCE PORCH/HALLWAY,7633
2007,RESIDENCE,73225
2007,SIDEWALK,49504
2007,VEHICLE NON-COMMERCIAL,5913
2007,STREET,117778
2007,ALLEY,10519
2007,OTHER,16004
2007,SMALL RETAIL STORE,6875
2007,CHA PARKING LOT/GROUNDS,3281
2007,RESIDENCE-GARAGE,9121
2008,GROCERY FOOD STORE,4998
2008,RESIDENCE-GARAGE,8684
2008,PARKING LOT/GARAGE(NON.RESID.),11913
2008,RESIDENTIAL YARD (FRONT/BACK),2721
2008,PARK PROPERTY,3125
2008,APARTMENT,45958
2008,COMMERCIAL / BUSINESS OFFICE,3204
2008,RESIDENCE,72729
2008,OTHER,15133
2008,STREET,112956
2008,"SCHOOL, PUBLIC, BUILDING",9616
2008,GAS STATION,4494
2008,RESIDENCE PORCH/HALLWAY,7352
2008,SIDEWALK,46151
2008,DEPARTMENT STORE,5208
2008,ALLEY,9794
2008,CHA PARKING LOT/GROUNDS,2482
2008,VEHICLE NON-COMMERCIAL,6059
2008,RESTAURANT,5884
2008,SMALL RETAIL STORE,7011
2009,GROCERY FOOD STORE,4660
2009,GAS STATION,3846
2009,RESIDENCE,66078
2009,RESIDENCE-GARAGE,8359
2009,STREET,98589
2009,PARKING LOT/GARAGE(NON.RESID.),11266
2009,PARK PROPERTY,2802
2009,APARTMENT,45038
2009,DEPARTMENT STORE,4924
2009,RESIDENCE PORCH/HALLWAY,6811
2009,"SCHOOL, PUBLIC, BUILDING",8449
2009,COMMERCIAL / BUSINESS OFFICE,2607
2009,OTHER,13292
2009,CHA PARKING LOT/GROUNDS,1628
2009,RESIDENTIAL YARD (FRONT/BACK),5586
2009,VEHICLE NON-COMMERCIAL,6048
2009,SIDEWALK,44311
2009,RESTAURANT,5539
2009,ALLEY,8829
2009,SMALL RETAIL STORE,6614
2010,SMALL RETAIL STORE,6147
2010,RESIDENCE PORCH/HALLWAY,6005
2010,GROCERY FOOD STORE,3948
2010,RESIDENCE,61127
2010,RESIDENCE-GARAGE,7138
2010,ALLEY,8517
2010,APARTMENT,42692
2010,PARKING LOT/GARAGE(NON.RESID.),10281
2010,"SCHOOL, PUBLIC, BUILDING",8071
2010,OTHER,12405
2010,RESIDENTIAL YARD (FRONT/BACK),6085
2010,COMMERCIAL / BUSINESS OFFICE,1939
2010,PARK PROPERTY,2982
2010,GAS STATION,3301
2010,CHA PARKING LOT/GROUNDS,1253
2010,SIDEWALK,43952
2010,STREET,93052
2010,VEHICLE NON-COMMERCIAL,6465
2010,RESTAURANT,5165
2010,DEPARTMENT STORE,4455
2011,GROCERY FOOD STORE,3698
2011,RESIDENCE,58273
2011,OTHER,11853
2011,RESIDENCE-GARAGE,7283
2011,DEPARTMENT STORE,4187
2011,APARTMENT,42662
2011,RESIDENTIAL YARD (FRONT/BACK),7094
2011,COMMERCIAL / BUSINESS OFFICE,1799
2011,PARK PROPERTY,2739
2011,"SCHOOL, PUBLIC, BUILDING",6856
2011,GAS STATION,3419
2011,RESIDENCE PORCH/HALLWAY,5872
2011,ALLEY,7646
2011,CHA PARKING LOT/GROUNDS,902
2011,STREET,84231
2011,VEHICLE NON-COMMERCIAL,5598
2011,SIDEWALK,41241
2011,PARKING LOT/GARAGE(NON.RESID.),10598
2011,SMALL RETAIL STORE,5949
2011,RESTAURANT,5045
2012,RESIDENCE,53772
2012,GROCERY FOOD STORE,3557
2012,STREET,76192
2012,ALLEY,7767
2012,RESIDENCE-GARAGE,6240
2012,DEPARTMENT STORE,4154
2012,PARKING LOT/GARAGE(NON.RESID.),9839
2012,APARTMENT,41388
2012,COMMERCIAL / BUSINESS OFFICE,1832
2012,PARK PROPERTY,2863
2012,"SCHOOL, PUBLIC, BUILDING",6201
2012,RESIDENTIAL YARD (FRONT/BACK),7534
2012,RESIDENCE PORCH/HALLWAY,5877
2012,OTHER,11676
2012,GAS STATION,3195
2012,CHA PARKING LOT/GROUNDS,1016
2012,VEHICLE NON-COMMERCIAL,5491
2012,SIDEWALK,40885
2012,RESTAURANT,5190
2012,SMALL RETAIL STORE,6080
2013,STREET,66912
2013,GROCERY FOOD STORE,3261
2013,RESIDENCE-GARAGE,5162
2013,RESIDENCE,49386
2013,ALLEY,6839
2013,PARKING LOT/GARAGE(NON.RESID.),8536
2013,RESIDENTIAL YARD (FRONT/BACK),6425
2013,DEPARTMENT STORE,4084
2013,OTHER,11424
2013,COMMERCIAL / BUSINESS OFFICE,1689
2013,GAS STATION,3122
2013,PARK PROPERTY,2722
2013,APARTMENT,38560
2013,"SCHOOL, PUBLIC, BUILDING",6528
2013,RESIDENCE PORCH/HALLWAY,5295
2013,CHA PARKING LOT/GROUNDS,996
2013,VEHICLE NON-COMMERCIAL,5330
2013,RESTAURANT,4832
2013,SIDEWALK,37262
2013,SMALL RETAIL STORE,5662
2014,GROCERY FOOD STORE,2938
2014,RESIDENCE,43663
2014,RESIDENCE-GARAGE,4441
2014,STREET,63083
2014,PARKING LOT/GARAGE(NON.RESID.),7459
2014,ALLEY,6065
2014,RESIDENTIAL YARD (FRONT/BACK),5452
2014,COMMERCIAL / BUSINESS OFFICE,1368
2014,APARTMENT,35265
2014,"SCHOOL, PUBLIC, BUILDING",5246
2014,PARK PROPERTY,2357
2014,RESIDENCE PORCH/HALLWAY,4865
2014,GAS STATION,2847
2014,SIDEWALK,30950
2014,OTHER,10805
2014,CHA PARKING LOT/GROUNDS,795
2014,DEPARTMENT STORE,3996
2014,RESTAURANT,4916
2014,VEHICLE NON-COMMERCIAL,4842
2014,SMALL RETAIL STORE,5468
2015,SMALL RETAIL STORE,5488
2015,SIDEWALK,27879
2015,GROCERY FOOD STORE,2947
2015,RESIDENCE-GARAGE,4480
2015,RESIDENCE,41772
2015,PARKING LOT/GARAGE(NON.RESID.),7432
2015,DEPARTMENT STORE,4126
2015,RESIDENTIAL YARD (FRONT/BACK),5513
2015,PARK PROPERTY,2205
2015,COMMERCIAL / BUSINESS OFFICE,1195
2015,STREET,60754
2015,"SCHOOL, PUBLIC, BUILDING",4165
2015,APARTMENT,35011
2015,RESIDENCE PORCH/HALLWAY,4779
2015,ALLEY,5614
2015,GAS STATION,2987
2015,CHA PARKING LOT/GROUNDS,753
2015,RESTAURANT,5009
2015,VEHICLE NON-COMMERCIAL,4695
2015,OTHER,10604
2016,OTHER,11344
2016,GROCERY FOOD STORE,3180
2016,RESIDENCE-GARAGE,5187
2016,RESIDENCE,46201
2016,STREET,60943
2016,DEPARTMENT STORE,4198
2016,PARKING LOT/GARAGE(NON.RESID.),8142
2016,APARTMENT,34475
2016,RESIDENTIAL YARD (FRONT/BACK),5557
2016,COMMERCIAL / BUSINESS OFFICE,1612
2016,"SCHOOL, PUBLIC, BUILDING",3747
2016,PARK PROPERTY,2116
2016,GAS STATION,3054
2016,RESIDENCE PORCH/HALLWAY,4551
2016,ALLEY,5300
2016,CHA PARKING LOT/GROUNDS,597
2016,VEHICLE NON-COMMERCIAL,4825
2016,SMALL RETAIL STORE,5868
2016,RESTAURANT,5674
2016,SIDEWALK,23498
2017,SMALL RETAIL STORE,6832
2017,GROCERY FOOD STORE,3508
2017,RESIDENCE,46097
2017,OTHER,11324
2017,RESIDENCE-GARAGE,4580
2017,STREET,59977
2017,PARKING LOT/GARAGE(NON.RESID.),8227
2017,DEPARTMENT STORE,4534
2017,RESIDENTIAL YARD (FRONT/BACK),5299
2017,APARTMENT,33593
2017,PARK PROPERTY,2085
2017,COMMERCIAL / BUSINESS OFFICE,1653
2017,"SCHOOL, PUBLIC, BUILDING",3411
2017,RESIDENCE PORCH/HALLWAY,4618
2017,ALLEY,5286
2017,SIDEWALK,21011
2017,GAS STATION,3885
2017,CHA PARKING LOT/GROUNDS,597
2017,VEHICLE NON-COMMERCIAL,4727
2017,RESTAURANT,6896
2018,GROCERY FOOD STORE,3477
2018,RESIDENCE,45173
2018,STREET,59060
2018,RESIDENCE-GARAGE,3868
2018,DEPARTMENT STORE,4722
2018,PARKING LOT/GARAGE(NON.RESID.),7634
2018,APARTMENT,34804
2018,RESIDENTIAL YARD (FRONT/BACK),5115
2018,COMMERCIAL / BUSINESS OFFICE,1724
2018,PARK PROPERTY,1765
2018,"SCHOOL, PUBLIC, BUILDING",3459
2018,RESIDENCE PORCH/HALLWAY,4684
2018,SIDEWALK,21168
2018,GAS STATION,3737
2018,CHA PARKING LOT/GROUNDS,520
2018,RESTAURANT,7342
2018,VEHICLE NON-COMMERCIAL,5181
2018,OTHER,10864
2018,SMALL RETAIL STORE,7281
2018,ALLEY,5002
2019,GROCERY FOOD STORE,3389
2019,OTHER,10496
2019,RESIDENCE,43255
2019,RESIDENCE-GARAGE,3230
2019,DEPARTMENT STORE,4871
2019,PARKING LOT/GARAGE(NON.RESID.),7468
2019,APARTMENT,34950
2019,STREET,56490
2019,RESIDENTIAL YARD (FRONT/BACK),4699
2019,COMMERCIAL / BUSINESS OFFICE,1716
2019,"SCHOOL, PUBLIC, BUILDING",2997
2019,PARK PROPERTY,1758
2019,RESIDENCE PORCH/HALLWAY,4891
2019,ALLEY,5116
2019,CHA PARKING LOT/GROUNDS,551
2019,GAS STATION,3718
2019,VEHICLE NON-COMMERCIAL,4786
2019,SIDEWALK,20344
2019,RESTAURANT,6984
2019,SMALL RETAIL STORE,7039
2020,STREET,50468
2020,GROCERY FOOD STORE,2553
2020,RESIDENCE-GARAGE,334
2020,RESIDENCE,38678
2020,PARKING LOT/GARAGE(NON.RESID.),930
2020,DEPARTMENT STORE,2324
2020,RESIDENTIAL YARD (FRONT/BACK),476
2020,COMMERCIAL / BUSINESS OFFICE,1599
2020,PARK PROPERTY,870
2020,APARTMENT,36013
2020,"SCHOOL, PUBLIC, BUILDING",622
2020,RESIDENCE PORCH/HALLWAY,685
2020,GAS STATION,3436
2020,OTHER,1385
2020,ALLEY,4716
2020,CHA PARKING LOT/GROUNDS,59
2020,SIDEWALK,13410
2020,VEHICLE NON-COMMERCIAL,3151
2020,SMALL RETAIL STORE,5265
2020,RESTAURANT,3534
2021,GROCERY FOOD STORE,1945
2021,RESIDENCE,31009
2021,DEPARTMENT STORE,2395
2021,APARTMENT,43155
2021,STREET,51175
2021,COMMERCIAL / BUSINESS OFFICE,2799
2021,PARK PROPERTY,1462
2021,GAS STATION,2914
2021,VEHICLE NON-COMMERCIAL,2581
2021,SMALL RETAIL STORE,5285
2021,RESTAURANT,3637
2021,SIDEWALK,11666
2021,ALLEY,4681